代號,名稱,取樣年 T-1,TSE 產業別,TSE新產業_名稱,是否違約,會計師事務所,是否為四大,是否投保董監責任險(Y/N),是否投保董監責任險,TESG分數,環境構面分數,社會構面分數,公司治理構面分數,總負債/總淨值,稅前純益/實收資本,營業利益率,稅後淨利成長率,存貨週轉率（次）,資產總額,ROA稅後息前,ROE稅後,每股淨值,每股現金流量,營收成長率,營業毛利成長率,營業利益/實收資本比,  現金及約當現金,  應收帳款及票據,  其他應收款,  存貨,  其他流動資產,流動資產,  不動產廠房及設備,    遞延所得稅資產,  遞延資產合計,    其他非流動資產－其他,  其他非流動資產,非流動資產,  應付帳款及票據,  其他應付款,  其他流動負債,流動負債,非流動負債,負債總額,    普通股股本,  股本,  資本公積合計,    未分配盈餘,  保留盈餘,  其他權益,母公司股東權益合計,股東權益總額,負債及股東權益總額,  營業收入毛額,營業收入淨額,  銷貨成本,營業成本,營業毛利,已實現銷貨毛利,營業費用,營業利益,  利息收入,  其他收入－其他,其他收入,  其他利益及損失－其他,其他利益及損失,  利息支出(不含租賃負債),財務成本,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,合併總損益,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,綜合損益歸屬母公司,每股盈餘,加權平均股數,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,  利息支出－CFO,  利息收入－CFO,  應收帳款（增加）減少－CFO,  存貨（增加）減少－CFO,  應付帳款增加（減少）－CFO,  其他應付款增加（減少）－CFO,  利息收現－CFO,  退還（支付）所得稅－CFO,  調整項（出貨）－CFO,來自營運之現金流量,  購置不動產廠房設備（含預付）－CFI,  其他金融資產（增加）減少－CFI,投資活動之現金流量,籌資活動之現金流量,本期產生現金流量,期初現金及約當現金,期末現金及約當現金,  資產負債表帳列現金,商品及製成品,員工人數-母公司,用人費用合計,折舊合計,攤銷合計,ROA(C)稅前息前折舊前,ROA稅後息前折舊前,ROA－綜合損益,稅前息前折舊前淨利率,營業毛利率,已實現銷貨毛利率,稅前淨利率,稅後淨利率,業外收支/營收,常續利益率－稅後,貝里比率,營業資產報酬率,營業費用率,用人費用率,現金流量比率,每股淨值(F)－TSE公告數,常續性EPS,每股營業額,每股營業利益,每股稅前淨利,每股綜合損益,季底每股稅前淨利,季底每股稅後淨利,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,流動比率,速動比率,利息支出率,負債比率,淨值/資產,長期資金適合率(A),淨負債,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,平均收帳天數,固定資產週轉次數,淨值週轉率（次）,季底收款天數,季底售貨天數,自由現金流量(D),Tobins Q,Tobins Q (A)
3519,綠能,2017,24,半導體,1,安永聯合會計師事務所,1,Y,1,52.35,62.28,53.25,40.96,178.06,-14.84,-5.31,35.8,8.5,15057009,-3.02,-11.58,11.23,3.72,-22.88,82.07,-14.44,513390,911424,175602,1287720,26149,4446967,7919803,292802,292802,1922538,2150793,10610042,2759149,1998935,100739,9026610,615442,9642052,4339853,4339853,1605348,-619678,-619678,-453091,4872432,5414957,15057009,11834882,11806557,11843372,11843372,-36815,-36815,589796,-626611,2048,42229,47398,-60812,137214,200714,202133,-17521,-644132,0,-644132,-644132,52571,-591561,-619139,-556425,-1.49,414802,-619139,-1.49,414802,-441999,862964,-648061,-644132,1301837,3126,202133,-2048,368572,211172,-593714,474006,2044,-59,421188,1542773,-255720,0,-407459,-938195,190788,322602,513390,513390,398701,1167,1279957,1301837,3126,5.45,3.83,-3.75,7.31,-0.31,-0.31,-5.46,-5.46,-0.15,-5.49,-6.24,-5.07,5,10.84,17.09,11.23,-1.44,27.2,-1.44,-1.55,-1.43,-1.48,-1.43,82.07,33.16,35.7,35.8,35.68,-8.47,-5.11,2.05,49.27,25.28,-42.43,64.04,35.96,74.44,3263873,-4579643,40.61,10.78,0.75,33.87,1.39,2.12,28.59,116.22,209937,0.8,0.8
3546,宇峻,2017,32,文化創意業,0,勤業眾信聯合會計師事務所,1,Y,1,55.32,45.94,49.45,67.11,25.14,52.99,20.17,27.72,0,1354347,13.21,16.33,28.92,-0.03,29.62,26.05,52.51,332382,185969,0,0,23105,1154510,93904,5421,5421,5792,5792,199837,48372,158255,30097,249989,22086,272075,379880,379880,291547,276175,434268,14012,1082272,1082272,1354347,989081,989081,99872,99872,889209,889209,689738,199471,6643,2172,14223,-10,-12374,0,0,1828,201299,30815,170484,170484,-31703,138781,170470,138767,4.61,37000,170470,4.59,37147,201299,239387,167718,201299,5360,32728,0,-6643,-65249,0,28189,46236,0,-36583,-22968,-1105,-2261,173,14786,-62837,-53567,385949,332382,332382,0,366,334980,5360,32728,18.33,15.45,10.75,24.2,89.9,89.9,20.35,17.24,0.18,16.96,128.92,18.67,69.74,33.87,-0.44,28.92,4.48,26.43,5.33,5.44,3.75,5.38,4.56,26.05,39.39,23.28,27.72,21.19,10.4,7.67,2.89,461.82,241.24,0,20.09,79.91,1152.53,-417106,904521,17.18,6.44,0.77,56.66,10.34,0.95,68.63,0,130275,2.56,2.56
3645,達邁,2017,28,電子零組件,0,勤業眾信聯合會計師事務所,1,Y,1,53.95,53.71,63.26,44.79,56.63,28.07,19.05,34.68,4.14,3579876,8.2,12.39,18.46,4.32,11.74,24.7,29.88,472120,551620,3,321250,22246,1375314,2166473,0,0,13494,15308,2204562,137307,287065,15232,793398,500957,1294355,1232576,1232576,395706,528083,648578,-1035,2275825,2285521,3579876,1940211,1933131,1298080,1298080,635051,635051,266816,368235,1815,8067,10792,0,-19845,13180,13180,-22233,346002,70965,275037,275037,-1339,273698,289692,288353,2.35,123257,289692,2.33,124403,359182,624178,274609,346002,263175,1821,13180,-1815,-146769,-29147,53731,53694,1649,-61305,30883,532433,-253067,-12038,-260246,-241348,23024,449096,472120,472120,143878,363,364177,263175,1821,17.89,14.5,7.85,32.29,32.85,32.85,17.9,14.23,-1.15,14.21,238.01,10.69,13.8,18.84,67.11,18.46,2.35,15.68,2.99,2.81,2.22,2.81,2.35,24.7,29.48,33.28,34.68,35.05,5.51,6.16,1.91,173.34,129.66,4.61,36.16,63.84,128.44,329084,581916,38.19,3.99,0.55,91.58,0.89,0.87,104.15,91.29,188331,3.12,3.12
3646,艾恩特,2017,28,電子零組件,0,勤業眾信聯合會計師事務所,1,Y,1,48.96,56.35,49.43,43.07,30.28,8.6,10.5,-30.89,4.13,615280,4.8,6.24,12.09,1.04,-7.78,5.13,13.35,268160,111692,9288,70867,1505,514372,80192,786,786,12123,12123,100908,66889,39100,788,139172,3820,142992,390614,390614,41301,34214,46861,-6488,472288,472288,615280,496844,496844,305952,305952,190892,190892,138732,52160,304,0,304,381,-18649,238,238,-18583,33577,3793,29784,29784,-7033,22751,29784,22751,0.76,38953,29784,0.75,39570,33815,61278,28591,33577,26466,997,238,-304,-1906,4456,8949,-4515,304,-2671,-10282,40514,-29104,-5022,-33166,-32329,-30631,298791,268160,268160,14169,25,160211,26466,997,9.63,8.27,3.65,12.33,38.42,38.42,6.76,5.99,-3.74,5.75,137.6,8.62,27.92,32.25,29.11,12.09,0.73,12.72,1.34,0.86,0.58,0.86,0.76,5.13,39.18,-33.19,-30.89,-38.94,-2.78,-1.94,-2.95,369.59,279.61,0.79,23.24,76.76,591.32,-246260,375200,38.65,4.47,0.8,81.68,5.9,1.04,82.05,85.3,32484,1.14,1.14
4806,昇華,2017,32,文化創意業,1,國富浩華聯合會計師事務所,0,-,0,47.96,51.7,43.68,52.07,77.78,-115.23,-58.27,-1492.09,1.17,1454203,-25.02,-38.18,25.77,-8.02,-28.76,57.02,-70.79,19701,78414,1797,194491,0,692314,181386,15354,15354,314020,467787,761889,606,6531,943,68120,568108,636228,317465,318241,843223,-351378,-327697,-15792,817975,817975,1454203,386640,386640,259523,259523,127117,127117,352395,-225278,3471,185,4955,-4939,-136897,9484,9484,-141426,-366704,-1154,-365550,-365550,-9472,-375022,-365550,-375022,-11.9,30716,-365550,-11.9,30716,-357220,-352608,-243779,-366704,4529,83,9484,-4747,-17142,53014,-34854,-2908,2424,-6869,-37719,-246409,-3645,0,-259396,448659,-57083,76784,19701,19701,194491,43,28341,4529,83,-16.15,-16.24,-26.24,-91.2,32.88,32.88,-94.84,-94.55,-36.58,-63.05,36.07,-26.6,91.14,7.33,-361.73,25.7,-7.68,12.18,-7.1,-11.94,-12.21,-11.55,-11.51,57.02,-743.12,-1181.66,-1492.09,-1020.41,3.53,-25.44,-27.58,1016.32,153.36,-2.65,43.75,56.25,762.75,596026,624194,33.36,3.44,0.27,106.14,2.13,0.4,74.03,834.36,-450806,1.42,1.42
4916,事欣科,2017,25,電腦及週邊,0,勤業眾信聯合會計師事務所,1,Y,1,50.4,60.64,44.61,49.72,137.83,31.27,3.38,17.08,2.88,8409027,3.54,7.02,15.27,3.46,137.54,176.85,23.19,944424,1784577,68840,2337536,27804,5612569,1929127,62816,62816,122965,122965,2796458,880971,396524,50212,4043956,829384,4873340,812596,812596,351318,87031,169950,-70575,1208089,3535687,8409027,5571335,5571335,4260688,4260688,1310647,1310647,1122170,188477,1716,17173,134940,-2257,-32842,36414,36414,65651,254128,88028,166100,166100,-73567,92533,84066,-9528,1.06,79368,86859,1.05,82467,290542,410105,73019,254128,95969,23594,36414,-1716,-79739,-344014,110802,147261,2163,-104115,201102,274812,-178319,-3862,817096,-385584,693143,251281,944424,944424,585815,95,1197534,95969,23594,5.72,3.65,1.67,7.36,23.52,23.52,4.56,2.98,1.18,1.31,116.8,4.19,20.14,21.49,6.8,15.27,-0.11,70.4,2.38,3.2,1.17,3.21,1.06,176.85,22.61,62.96,17.08,-46.55,214.86,196.29,3.68,138.79,75.6,18.55,57.95,42.05,221.24,1809832,1568613,116.59,4.97,1.01,73.39,4.92,2.36,116.91,201.49,-1210457,0.7,0.7
4942,嘉彰,2017,26,光電業,0,勤業眾信聯合會計師事務所,1,Y,1,59.02,63.75,66.88,49.58,42.84,25.21,6.42,-21.91,13.81,9470837,2.69,3.68,46.49,1.92,2.06,2.64,28.32,1726880,2822791,0,339475,182493,7438382,1548792,74953,74953,60256,183148,2032455,1440593,386005,41451,2648905,191556,2840461,1423676,1423676,2838012,1750186,2671435,-313828,6619295,6630376,9470837,6278194,6278194,5080562,5080562,1197632,1197632,794512,403120,59121,0,70348,36765,-112306,5533,5533,-44200,358920,112462,246458,246458,-170270,76188,249534,79264,1.75,142368,249534,1.74,143558,364453,888833,231516,358920,240215,284165,5533,-59121,-244749,14996,104934,8048,70808,-190639,-327516,273271,-108572,-464404,-497907,198361,-116039,1842919,1726880,1726880,151415,271,1210657,240215,284165,9.37,7.2,0.82,14.16,19.08,19.08,5.72,3.93,-0.7,3.69,150.74,4.58,12.66,19.28,10.32,46.49,1.65,44.1,2.83,2.52,0.54,2.52,1.75,2.64,12.16,-28.08,-21.91,-43,3.06,-1.85,-1.05,280.81,172.66,2.2,29.99,70.01,428.1,-1010894,4789477,47.69,2.32,0.67,157.56,3.77,0.94,164.11,24.55,592638,0.42,0.42
4953,緯軟,2017,30,資訊服務業,0,安侯建業聯合會計師事務所,1,Y,1,66.72,64.46,59.44,75.43,85.66,27.66,3.29,64.95,23121.1,1874581,5.97,11.05,23.29,1.02,2.72,6.53,20.9,910726,715690,1643,137,1839,1740186,43677,29610,29610,19576,22791,134395,134915,479943,24365,737545,127357,864902,438783,438783,255502,300549,375377,-48241,1009679,1009679,1874581,2784634,2784634,2254306,2254306,530328,530328,438638,91690,7103,0,32431,4603,-2327,433,433,29671,121361,12122,109239,109239,-33276,75963,109239,75963,2.54,42957,109239,2.5,43775,121794,144047,110244,121361,16499,5754,433,-7103,-150553,-79,-12688,73272,6530,-9593,11815,43917,-15626,-233,-21023,-27105,-36616,947342,910726,910726,137,466,1803074,16499,5754,7.91,7.04,4.14,5.17,19.04,19.04,4.36,3.92,1.07,3.96,120.9,5.25,15.75,64.75,5.95,23.29,2.54,64.24,2.12,2.83,1.77,2.8,2.52,6.53,128.04,67.17,64.95,62.05,4.47,4.43,2.3,235.94,220.74,0.4,46.14,53.86,2311.69,-867549,1002641,70.9,4.25,1.52,85.8,63.39,2.82,93.81,0.02,67072,0.66,0.66
4965,商店街,2017,34,電子商務,1,安侯建業聯合會計師事務所,1,Y,1,47.32,48.53,45.08,49.13,529.41,-321.49,-87.38,-10363.1,7986.87,3049082,-43.2,-157.46,1.63,-14.27,-21.7,-29.12,-322.15,2310304,31801,409849,277,36040,3023350,17408,0,0,4455,4455,25732,64979,303406,1843094,2562335,2315,2564650,344452,344452,734853,-1061508,-1023141,0,56164,484432,3049082,1279697,1269954,1106182,1106182,163772,163772,1273441,-1109669,2529,0,2529,662,662,887,887,2304,-1107365,576,-1107941,-1107941,859,-1107082,-1062367,-1061508,-43.25,24565,-1062367,-43.25,24565,-1106478,-1099617,-1107941,-1107365,5393,1468,887,-2529,-7348,-277,-21356,248532,2527,-1451,806833,-350422,-12160,-10,-13984,1018722,654316,1655988,2310304,2310304,277,173,167411,5393,1468,-42.91,-42.98,-43.2,-86.59,12.9,12.9,-87.2,-87.24,0.18,-87.24,12.86,-43.44,100.27,13.18,-13.68,1.63,-30.84,36.87,-32.22,-45.08,-45.07,-32.15,-30.84,-29.12,-12361.2,-20676.1,-10363.1,-10363.1,46.84,-47.5,-52.79,117.99,107.4,-0.08,84.11,15.89,2782.81,-1960304,461015,6.62,45.21,0.5,8.07,87.38,1.8,9.14,0.09,-668056,0.67,0.67
5007,三星,2017,10,鋼鐵工業,1,安永聯合會計師事務所,1,Y,1,66.79,68.4,67.51,64.55,29.38,48.17,18.74,3.06,3.55,8178900,14.32,18.86,20.79,3.82,6.73,0.2,46.12,1306280,1453211,29086,1596645,0,4425299,3485018,70178,70178,27485,27485,3753601,528163,454790,47179,1357198,500302,1857500,2949401,2949401,478843,1574587,2739372,-36011,6131605,6321400,8178900,7297823,7258900,5459561,5459561,1799339,1799339,438957,1360382,7134,29775,36909,-308,26348,2786,2786,60471,1420853,267703,1153150,1153150,3841,1156991,1133528,1133721,3.84,294940,1133528,3.84,295296,1423639,1678646,1137551,1420853,244356,10651,2786,-7120,-242601,-121580,86095,16908,0,-274903,-7403,1127423,-198078,0,-101901,-1011010,21641,1284639,1306280,1306280,427450,1549,1358709,244101,10651,20.62,16.76,14.34,23.13,24.79,24.79,19.57,15.89,0.83,15.67,409.91,17.61,6.05,18.72,83.07,20.79,3.79,24.61,4.61,4.82,3.92,4.82,3.84,0.2,1.31,3.05,3.06,5.86,2.84,6.99,0.44,326.06,206.89,0.24,22.71,77.29,181.39,-1144718,3068101,48.25,5.45,0.9,66.97,2.07,1.19,73.07,106.74,733497,2.15,2.15
5014,建錩,2017,10,鋼鐵工業,0,資誠聯合會計師事務所,1,Y,1,43.95,41.54,49.55,42.68,273.5,13.8,2.87,-54.6,7.43,8039371,3.64,8.07,12.05,0.36,28.67,-3.85,29.96,532157,1181286,25221,1955022,22515,6134423,1450199,28330,28330,90305,372286,1904948,319823,225485,195151,5454038,432908,5886946,1653330,1653330,156472,185069,338304,-155100,1993006,2152425,8039371,17258560,17258560,16084709,16084709,1173851,1173851,678475,495376,25660,22058,49002,-1863,-189877,123200,126865,-267290,228086,38446,189640,189640,-48831,140809,126277,88172,0.76,165333,126277,0.76,165483,354951,544138,229835,228086,172108,17079,126865,-25660,-299749,421827,-36598,-29132,0,-97995,-168534,60126,-191354,220328,371267,-136583,162092,370065,532157,532157,863582,54,392267,172108,17079,7.21,6.08,1.74,3.15,6.8,6.8,1.32,1.1,-1.55,1.33,173.01,6.45,3.93,2.27,1.1,12.05,1.01,104.39,3,1.38,0.85,1.38,0.76,-3.85,-12.7,-50.91,-54.6,-46.68,-1.49,-15.56,-2.79,112.47,31.89,43.01,73.23,26.77,158.05,4210240,680385,145.71,16.6,2.13,21.98,11.88,7.34,24.98,57.19,254370,0.95,0.95
5203,訊連,2017,30,資訊服務業,0,資誠聯合會計師事務所,1,Y,1,55.44,54.65,54.43,56.96,33.69,42.06,34.55,-20.41,32.25,5135831,4.48,6.01,44.2,3.35,-10.11,-8.26,67.58,1409625,57309,14693,7020,14814,3027271,453673,46567,46567,5871,1263634,2108560,136854,568617,54123,787029,507246,1294275,871307,871307,1062577,897417,1994932,-72904,3841556,3841556,5135831,1704178,1704178,203270,203270,1500908,1505685,916877,588808,32979,5231,112183,-14714,-117025,0,0,-222313,366495,124938,241557,241557,-91490,150067,241557,150067,2.72,88930,241557,2.67,90322,366495,389380,236743,366495,22885,0,0,-32979,38571,-1434,-35668,-33937,32914,-128033,-19120,298095,-11221,719751,431862,-383847,292216,1117409,1409625,1409625,7020,319,623799,22885,0,7.14,4.75,2.78,22.85,88.07,88.35,21.51,14.17,-13.05,13.89,163.7,16.31,53.8,36.6,37.88,44.2,2.72,19.61,6.77,4.12,1.69,4.22,2.78,-8.23,-20.06,-27.28,-20.41,-17.04,-8.98,-8.45,-1.09,384.65,204.54,0,25.2,74.8,846.77,-1537799,2240242,1.67,21.77,0.32,16.77,3.71,0.42,12.27,12.61,768661,1.13,1.13
5206,坤悅,2017,14,建材營造,0,建智聯合會計師事務所,0,Y,1,57.58,48.75,54.46,65.31,99.17,13.63,13.88,25.29,0.29,4584030,3.96,7.88,15.5,1.89,26.48,21.8,12.67,1078220,44145,0,3387927,263,4566340,14954,0,0,1233,1233,17690,216902,34412,2788,2281274,1166,2282440,1485000,1485000,169260,589931,647330,0,2301590,2301590,4584030,1355159,1355159,1000269,1000269,354890,354890,166785,188105,615,13327,14242,0,28,37235,0,14270,202375,25082,177293,177293,0,177293,177293,177293,1.19,148500,177293,1.19,148500,202375,204168,177265,202375,1493,300,37235,-615,-42755,193782,-14957,8137,608,-70053,5453,281009,-6715,-18367,-25604,78829,334234,743986,1078220,1078220,0,28,58886,1493,300,4.55,3.99,3.96,15.07,26.19,26.19,14.93,13.08,1.05,13.08,212.78,4.2,12.31,4.35,12.32,15.5,1.19,9.13,1.27,1.36,1.19,1.36,1.19,21.8,3.21,-1.1,25.29,25.27,4.66,4.69,0.82,200.17,49.2,0,49.79,50.21,15391.1,669210,2285066,149.12,59.52,0.3,6.13,109.79,0.6,11.89,1248.3,73611,0.69,0.69
5287,數字,2017,36,數位雲端,0,安侯建業聯合會計師事務所,1,Y,1,59.29,45.94,63.08,63.93,52.91,144.02,43.92,15.68,9.57,2819756,18.37,27.17,43.07,15.67,-4.02,-4.65,141.44,628363,162687,2901,14495,22949,1601257,779914,24087,24087,1191,19225,1218499,5850,347619,405349,947966,27768,975734,425805,425805,566585,639403,978490,-137067,1833813,1844022,2819756,1371193,1371193,296124,296124,1075069,1075069,472792,602277,6031,12627,20363,-2246,-9395,0,0,10968,613245,108520,504725,639715,-63253,576462,634379,571126,15,42290,634379,14.87,42662,613245,649403,504726,613245,27022,9136,0,-6031,-55446,32912,-4005,102839,6016,-123771,61566,662769,-7370,-33731,-107341,-636446,-85975,714338,628363,628363,23595,115,443172,27022,9136,23.63,19.46,20.98,47.36,78.4,78.4,44.72,46.65,0.8,36.81,227.39,25.47,34.48,32.32,69.91,43.07,11.73,32.2,14.14,14.5,13.63,14.4,14.9,-4.65,-6.23,-7.47,-8.73,-9.25,5.35,-1.43,-1.41,168.92,83.75,0,34.6,65.4,236.44,-628363,653291,9.61,10.14,0.5,35.98,1.79,0.74,190.81,17.87,830839,3.61,3.61
5464,霖宏,2017,28,電子零組件,0,安永聯合會計師事務所,1,Y,1,52.6,45.94,55.14,54.27,246,-24.59,2.32,-545.61,7.9,3529413,-3.67,-12.8,14.35,-9.76,9.61,-25.27,5.27,1480858,440048,31442,251147,453279,2691988,399111,21122,21122,167446,416609,837425,477567,141299,3373,2262589,246775,2509364,710715,710715,92567,-12334,216767,0,1020049,1020049,3529413,1620445,1612879,1507317,1507317,105562,105562,68129,37433,30945,14936,48148,0,-241370,18566,18566,-212167,-174734,-33715,-141019,-141019,6265,-134754,-141019,-134754,-1.98,71072,-141019,-1.98,71072,-156168,-122053,-129432,-174734,33782,333,18566,-30945,-40609,-124370,52117,2198,29017,-9000,-452862,-693591,-4748,0,-159935,322571,-530955,2011813,1480858,1480858,26241,453,211468,33782,333,-3.23,-2.51,-3.94,-7.57,6.54,6.54,-10.83,-8.74,-13.15,-8.02,154.94,1.23,4.22,13.11,-30.65,14.35,-1.82,22.69,0.53,-2.46,-1.9,-2.46,-1.98,-25.27,-37.16,-563.2,-545.61,-382.48,6.7,-13.79,-5.13,118.98,86.62,-14.78,71.1,28.9,313.21,372622,429399,67.76,3.84,0.47,95.1,3.98,1.46,140.87,60.96,518519,0.78,0.78
5508,永信建,2017,14,建材營造,0,勤業眾信聯合會計師事務所,1,N,0,53.5,48.75,53.06,56.78,58.69,30.82,22.2,51.15,0.36,7077852,9.96,15.23,20.51,-1.66,48.85,45.16,30.73,213863,16570,10,6384624,62580,6690936,16592,0,0,13788,370324,386916,256444,81029,1620,2601903,15671,2617574,2174281,2174281,231750,657663,2054247,0,4460278,4460278,7077852,3010383,3010655,2119465,2119465,891190,891190,222968,668222,583,1276,1859,0,0,21689,0,1859,670081,10999,659082,659082,-1605,657477,659082,657477,3.03,217428,659082,3.03,217452,670081,673248,659082,670081,168,2999,0,-583,33922,-784313,-154639,14864,581,-10967,30331,-361316,-376,302,-177,383062,21569,192294,213863,213863,0,47,61289,168,2999,10.17,10,9.94,22.36,29.6,29.6,22.26,21.89,0.06,21.89,399.69,10.74,7.41,2.04,-13.89,20.51,3.03,13.85,3.07,3.08,3.02,3.08,3.03,45.16,50.73,50.68,51.15,51.15,14.95,6.31,3.66,257.16,8.86,0,36.98,63.02,26882.1,1948975,4089033,143.52,89.79,0.45,4.07,182.6,0.7,2.01,1099.32,494195,1.28,1.28
6101,寬魚國際,2017,32,文化創意業,0,資誠聯合會計師事務所,1,Y,1,53.79,56.38,60.82,40.64,56.56,4.18,-14.17,122.43,25.74,1502302,3.26,4.55,12.02,-0.56,-24.47,195.08,-1.68,438861,42360,15468,1992,2206,535380,194408,13517,13517,401852,401852,966922,0,7846,353,138199,404519,542718,798259,798259,328615,-297406,-294104,126814,959584,959584,1502302,94560,94560,64137,64137,30423,30423,43825,-13402,657,2899,4745,-259,51705,9644,9644,46806,33404,-2,33406,33406,18106,51512,33406,51512,0.47,70594,38950,0.37,106565,43048,77077,-30412,33404,2697,31332,9644,-657,-31462,1000,-117,2614,657,-30,-9510,-39625,-197,-604,47126,399961,415232,23629,438861,438861,7739,20,18130,2697,31332,1.04,0.46,4.05,81.51,32.17,32.17,35.33,35.33,49.5,-32.16,69.42,-2.62,46.35,19.17,-28.67,12.02,-0.38,1.18,-0.17,0.47,0.73,0.42,0.42,195.08,89.61,122.4,122.43,77.18,44.51,88.85,13.18,387.4,363.07,23.29,36.13,63.87,695.65,78880,397181,4.62,3.63,0.07,100.5,0.46,0.13,163.51,10.91,-262116,3.21,3.21
6112,邁達特,2017,30,資訊服務業,1,安侯建業聯合會計師事務所,1,Y,1,53.57,61.84,52.43,49.47,160.01,35.67,3.44,19.92,3.52,5822465,5.57,13.98,20.42,7.72,14.3,18.19,35.46,440246,1799416,355,2522784,28512,4804738,836642,35244,35244,74920,74920,1017727,1321639,314295,1092,3334742,248440,3583182,1011217,1011217,444122,379319,609616,0,2064955,2239283,5822465,10422423,10422423,9480219,9480219,942204,942204,583632,358572,544,0,13979,1995,2565,14690,14690,2148,360720,61297,299423,299423,0,299423,283390,283390,2.8,101121,283390,2.77,102422,375410,399113,317924,360720,19015,4688,14690,-544,-267654,337638,428469,34631,542,-48381,11524,780586,-393356,13474,-370446,-176398,233742,206504,440246,440246,2522784,284,397813,19015,4688,7.46,6.25,5.35,3.83,9.04,9.04,3.46,2.87,0.02,3.05,161.44,6.71,5.6,3.82,23.41,20.42,2.99,103.07,3.55,3.57,2.96,3.57,2.8,18.19,29.81,20.48,19.92,26.77,8.5,9.53,0.81,144.08,67.29,4.71,61.54,38.46,296.57,657781,1469996,193.02,6.19,1.86,58.94,17.43,4.87,63.02,97.14,-147536,0.7,0.7
6158,禾昌,2017,28,電子零組件,0,勤業眾信聯合會計師事務所,1,Y,1,51.67,56.35,51.67,48.17,46.07,7.62,3.09,-50.65,5.36,3564198,2.13,2.9,22.39,2.18,-15.13,-9.52,4.45,1982522,572760,1504,200858,18612,2832769,613616,93945,93945,1855,23051,731429,156584,279061,397,937677,186412,1124089,1139789,1139789,562357,290515,693878,141922,2440109,2440109,3564198,1643243,1643243,1172684,1172684,470559,470559,419835,50724,30954,5755,44663,-656,-3875,4681,4681,36107,86831,13908,72923,72923,-100025,-27102,72923,-27102,0.67,108489,72923,0.67,109034,91512,226799,39096,86831,133377,1910,4681,-30954,89685,37031,-64176,-22067,30568,-19502,35611,236041,-75992,0,-43153,29892,135200,1847322,1982522,1982522,122857,122,644307,133377,1910,5.36,4.31,-0.75,13.8,28.64,28.64,5.28,4.44,2.2,2.38,112.08,1.46,25.55,39.21,25.17,22.39,0.36,15.08,0.47,0.8,-0.25,0.8,0.67,-9.52,-17.17,-47.52,-50.65,-73.34,-2.11,-6.04,-4.27,302.1,273.27,6.09,31.54,68.46,397.66,-1518114,1895092,31.7,2.56,0.46,142.39,2.54,0.65,127.22,62.25,237689,0.76,0.76
6182,合晶,2017,24,半導體,0,安永聯合會計師事務所,1,Y,1,58.67,46.67,62.93,61.99,62.7,9.87,9.91,131.04,2.53,16008604,4.07,6.07,14.17,4.08,18.07,296.95,13.16,4039526,1717315,207721,1573023,71998,7871873,6266890,40195,40195,1027629,1554864,8136731,678565,699839,3127,5185495,984057,6169552,4716154,4803563,1651579,276969,452718,-224987,6682873,9839052,16008604,6392853,6376511,4847238,4847238,1529273,1529273,897094,632179,44684,30129,108452,-45472,-104960,169510,161320,-157828,474351,18019,456332,456332,71267,527599,300791,332227,0.67,445772,302761,0.63,481036,635671,1518618,469240,474351,874969,7978,161320,-44684,-191671,691003,63624,28183,37788,-9333,-19185,1819551,-1223770,463936,-730886,2195226,3351088,688438,4039526,4039526,242773,973,1009869,874969,7978,10.57,9.22,3.64,23.82,23.98,23.98,7.44,7.16,-2.48,7.36,170.47,4.98,14.07,15.84,35.09,13.91,0.67,13.52,1.34,1.06,1.18,1.01,0.64,296.95,233.38,132.19,131.04,167.84,23.34,89.2,14.26,151.81,115.02,27.33,38.54,61.46,158.59,-151670,2686378,33.44,3.98,0.44,91.81,1.04,0.85,98.3,112.83,-2560519,1.52,1.52
6183,關貿,2017,30,資訊服務業,0,安永聯合會計師事務所,1,Y,1,69.9,40.72,81.62,76.63,27.86,20.12,20.66,23.75,924.1,2691651,9.6,12.3,14,1.92,12.53,13.3,19.34,701861,360238,3504,352,214,1629710,610967,9853,9853,41224,397322,1061941,117996,260769,6733,474221,112259,586480,1500000,1500000,11,264637,601082,-363,2100730,2105171,2691651,1387207,1404434,795648,795648,608786,608786,315860,290113,4590,1099,7574,-1127,4105,0,0,11679,301792,47376,254416,254341,2204,256545,254376,256704,1.7,150000,254376,1.69,150595,301792,376463,248093,301792,64354,10317,0,-4590,-54158,1150,31776,47844,3935,-44398,-1462,288358,-45470,-174696,-221143,-181347,-114543,818440,703897,701861,352,493,605249,64354,10317,13.96,11.7,9.68,26.81,43.35,43.35,21.49,18.11,0.83,17.66,192.74,13.26,22.49,43.1,60.81,14,1.65,9.36,1.93,2.01,1.71,2.01,1.7,13.3,21.27,22.86,23.07,20.66,3.14,3.68,1.71,343.66,226.62,0,21.79,78.21,344.56,-710941,1155489,17.13,4.23,0.53,86.25,2.25,0.68,93.62,0.16,192527,1.74,1.74
